airplaneID AirlineID fromAirport toAirport
921 10920 3U TYN CKG
922 10921 3U TYN CTU
923 10922 3U TYN DAT
924 10923 3U TYN HGH
925 10924 3U TYN SHE
926 10925 3U TYN TVS
927 10926 3U URC CGO
928 10927 3U URC CKG
929 10928 3U URC CTU
930 10929 3U URC KHG
931 10930 3U URC XIY
932 10931 3U UYN XIY
933 10932 3U WNZ CSX
934 10933 3U WNZ CTU
935 10934 3U WNZ HRB
936 10935 3U WNZ KWE
937 10936 3U WNZ SYX
938 10937 3U WUH CKG
939 10938 3U WUH CTU
940 10939 3U WUH HRB
941 10940 3U WUH JJN
942 10941 3U WUH NNG
943 10942 3U WUH NTG
944 10943 3U WUX CKG
945 10944 3U WUX CTU
946 10945 3U WXN CTU
947 10946 3U WXN KMG
948 10947 3U WXN PEK
949 10948 3U WXN SZX
950 10949 3U XIC CTU
951 10950 3U XIY BHY
952 10951 3U XIY CKG
953 10952 3U XIY CTU
954 10953 3U XIY FOC
955 10954 3U XIY GXH
956 10955 3U XIY HRB
957 10956 3U XIY KMG
958 10957 3U XIY LXA
959 10958 3U XIY LYI
960 10959 3U XIY TNA
961 10960 3U XIY URC
962 10961 3U XIY UYN
963 10962 3U XIY XMN
964 10963 3U XIY XNN
965 10964 3U XIY YBP
966 10965 3U XMN CSX
967 10966 3U XMN CTU
968 10967 3U XMN CZX
969 10968 3U XMN KMG
970 10969 3U XMN KOW
971 10970 3U XMN XIY
972 10971 3U XNN CKG
973 10972 3U XNN CTU
974 10973 3U XNN LXA
975 10974 3U XNN MIG
976 10975 3U XNN XIY
977 10976 3U XNN ZHY
978 10977 3U XUZ CTU
979 10978 3U XUZ DLC
980 10979 3U XUZ HRB
981 10980 3U XUZ KMG
982 10981 3U XUZ KWE
983 10982 3U XUZ SHE
984 10983 3U YBP SYX
985 10984 3U YBP XIY
986 10985 3U YIH CKG
987 10986 3U YIH CTU
988 10987 3U YIH HKG
989 10988 3U YTY CTU
990 10989 3U YVR SHE
