"airplaneID","AirlineID","airplaneType"
10373,"3H","DH8"
10374,"3H","BET DH8"
10375,"3H","BET"
10376,"3J","737"
10377,"3J","737"
10378,"3J","737"
10379,"3J","737"
10380,"3J","737"
10381,"3K","320"
10382,"3K","320"
10383,"3K","320"
10384,"3K","320"
10385,"3K","320"
10386,"3K","320"
10387,"3K","320"
10388,"3K","320"
10389,"3K","320"
10390,"3K","320"
10391,"3K","320"
10392,"3K","320"
10393,"3K","320"
10394,"3K","320"
10395,"3K","320"
10396,"3K","320"
10397,"3K","320"
10398,"3K","320"
10399,"3K","320"
10400,"3K","320"
10401,"3K","320"
10402,"3K","320"
10403,"3K","320"
10404,"3K","320"
10405,"3K","320"
10406,"3K","320"
10407,"3K","320"
10408,"3K","320"
10409,"3K","320"
10410,"3K","320"
10411,"3K","320"
10412,"3K","320"
10413,"3K","320"
10414,"3K","320"
10415,"3K","320"
10416,"3K","320"
10417,"3L","DH3"
10418,"3L","DH3"
10419,"3L","DH3"
10420,"3L","DH3"
10421,"3L","DH3"
10422,"3L","DH3"
10423,"3L","DH3"
10424,"3L","DH3"
10425,"3L","DH3"
10426,"3L","AT7"
10427,"3L","AT7"
10428,"3L","AT7"
10429,"3L","AT7"
10430,"3L","AT7"
10431,"3L","DH3"
10432,"3L","AT7"
10433,"3L","DH3"
10434,"3L","AT7"
10435,"3L","AT7"
10436,"3L","DH3"
10437,"3L","AT7"
10438,"3L","AT7"
10439,"3L","DH3"
10440,"3L","DH3"
10441,"3L","DH3"
10442,"3L","DH3"
10443,"3M","SF3"
10444,"3M","SF3"
10445,"3M","SF3"
10446,"3M","SF3"
10447,"3M","SF3"
10448,"3M","SF3"
10449,"3M","SF3"
10450,"3M","SF3"
10451,"3M","SF3"
10452,"3M","SF3"
10453,"3M","SF3"
10454,"3M","SF3"
10455,"3M","SF3"
10456,"3M","SF3"
10457,"3M","SF3"
10458,"3M","SF3"
10459,"3M","SF3"
10460,"3M","SF3"
10461,"3M","SF3"
10462,"3M","SF3"
10463,"3M","SF3"
10464,"3M","SF3"
10465,"3M","SF3"
10466,"3M","SF3"
10467,"3M","SF3"
10468,"3M","SF3"
10469,"3M","SF3"
10470,"3M","SF3"
10471,"3M","SF3"
10472,"3M","SF3"
10473,"3M","SF3"
10474,"3M","SF3"
10475,"3M","SF3"
10476,"3M","SF3"
10477,"3M","SF3"
10478,"3M","SF3"
10479,"3M","SF3"
10480,"3M","SF3"
10481,"3M","SF3"
10482,"3M","SF3"
10483,"3M","SF3"
10484,"3M","SF3"
10485,"3M","SF3"
10486,"3M","SF3"
10487,"3M","SF3"
10488,"3M","SF3"
10489,"3M","SF3"
10490,"3M","SF3"
10491,"3M","SF3"
10492,"3M","SF3"
10493,"3M","SF3 "
10494,"3M","SF3"
10495,"3M","SF3"
10496,"3M","SF3"
10497,"3M","SF3"
10498,"3M","SF3"
10499,"3M","SF3"
10500,"3M","SF3"
10501,"3M","SF3"
10502,"3M","SF3"
10503,"3M","SF3"
10504,"3M","SF3"
10505,"3M","SF3"
10506,"3M","SF3"
10507,"3M","SF3"
10508,"3M","SF3 "
10509,"3M","SF3"
10510,"3O","320"
10511,"3O","320"
10512,"3O","320"
10513,"3O","320"
10514,"3O","320"
10515,"3O","320"
10516,"3O","320"
10517,"3O","320"
10518,"3O","320"
10519,"3O","320"
10520,"3O","320"
10521,"3O","320"
10522,"3O","320"
10523,"3O","320"
10524,"3O","320"
10525,"3O","320"
10526,"3O","320"
10527,"3O","320"
10528,"3O","320"
10529,"3O","320"
10530,"3O","320"
10531,"3O","320"
10532,"3O","320"
10533,"3O","320"
10534,"3O","320"
10535,"3O","320"
10536,"3O","320"
10537,"3O","320"
10538,"3O","320"
10539,"3O","320"
10540,"3O","320"
10541,"3O","320"
10542,"3O","320"
10543,"3O","320"
10544,"3O","320"
10545,"3O","320"
10546,"3O","320"
10547,"3O","320"
10548,"3O","320"
10549,"3O","320"
10550,"3O","320"
10551,"3O","320"
10552,"3O","320"
10553,"3O","320"
10554,"3P","SH6"
10555,"3P","SH6"
10556,"3P","SH6"
10557,"3P","SH6"
10558,"3P","SH6"
10559,"3P","SH6"
10560,"3R","SU9"
10561,"3R","SU9"
10562,"3R","734"
10563,"3R","SU9"
10564,"3R","734"
10565,"3R","SU9"
10566,"3R","734"
10567,"3R","734"
10568,"3R","734"
10569,"3R","734"
10570,"3R","734"
10571,"3R","SU9 73G"
10572,"3R","SU9"
10573,"3R","734"
10574,"3R","734"
10575,"3R","SU9"
10576,"3R","734"
10577,"3R","734"
10578,"3R","734"
10579,"3R","SU9 73G"
10580,"3S","AT5"
10581,"3S","320"
10582,"3S","AT5"
10583,"3S","AT5"
10584,"3S","AT5"
10585,"3S","320"
10586,"3S","AT5 320"
10587,"3S","AT5"
10588,"3S","AT5"
10589,"3S","AT5"
10590,"3S","AT5"
10591,"3S","AT5 320"
10592,"3S","DHT"
10593,"3S","AT5"
10594,"3S","AT5"
10595,"3S","AT5"
10596,"3S","DHT"
10597,"3S","AT5"
10598,"3S","AT5"
10599,"3S","AT5"
10600,"3S","AT5"
10601,"3S","AT5"
10602,"3S","AT5"
10603,"3S","AT5"
10604,"3U","321"
10605,"3U","321 320"
10606,"3U","321 320 330"
10607,"3U","330"
10608,"3U","321"
10609,"3U","321"
10610,"3U","321"
10611,"3U","320"
10612,"3U","320"
10613,"3U","320"
10614,"3U","320"
10615,"3U","321"
10616,"3U","320"
10617,"3U","321"
10618,"3U","320 319"
10619,"3U","321 320"
10620,"3U","321"
10621,"3U","319 321"
10622,"3U","330"
10623,"3U","320"
10624,"3U","320"
10625,"3U","320"
10626,"3U","319"
10627,"3U","320 319"
10628,"3U","321"
10629,"3U","321"
10630,"3U","319"
10631,"3U","319 320"
10632,"3U","319 321"
10633,"3U","319"
10634,"3U","319"
10635,"3U","319"
10636,"3U","319"
10637,"3U","319"
10638,"3U","321 319 320"
10639,"3U","320 319"
10640,"3U","319"
10641,"3U","319"
10642,"3U","330"
10643,"3U","320"
10644,"3U","320"
10645,"3U","321"
10646,"3U","320"
10647,"3U","319"
10648,"3U","321"
10649,"3U","320"
10650,"3U","319"
10651,"3U","319"
10652,"3U","319"
10653,"3U","320"
10654,"3U","319"
10655,"3U","319"
10656,"3U","319 321"
10657,"3U","320"
10658,"3U","320"
10659,"3U","320"
10660,"3U","320"
10661,"3U","319"
10662,"3U","321"
10663,"3U","321 320 330"
10664,"3U","321"
10665,"3U","330"
10666,"3U","320"
10667,"3U","319"
10668,"3U","319"
10669,"3U","321"
10670,"3U","319"
10671,"3U","320"
10672,"3U","321"
10673,"3U","320 319"
10674,"3U","320"
10675,"3U","321"
10676,"3U","321"
10677,"3U","321"
10678,"3U","319"
10679,"3U","320"
10680,"3U","319"
10681,"3U","321"
10682,"3U","320"
10683,"3U","320"
10684,"3U","320"
10685,"3U","319"
10686,"3U","319"
10687,"3U","319"
10688,"3U","330 319"
10689,"3U","319"
10690,"3U","330"
10691,"3U","319 320"
10692,"3U","319 320"
10693,"3U","330 321 320"
10694,"3U","321 330"
10695,"3U","319"
10696,"3U","330"
10697,"3U","320"
10698,"3U","321"
10699,"3U","320 321"
10700,"3U","321"
10701,"3U","321"
10702,"3U","320"
10703,"3U","321"
10704,"3U","319"
10705,"3U","319 330"
10706,"3U","320"
10707,"3U","319"
10708,"3U","320"
10709,"3U","319"
10710,"3U","320"
10711,"3U","320 319"
10712,"3U","320"
10713,"3U","320"
10714,"3U","320"
10715,"3U","320"
10716,"3U","319"
10717,"3U","320"
10718,"3U","321"
10719,"3U","321"
10720,"3U","320"
10721,"3U","319"
10722,"3U","319"
10723,"3U","320"
10724,"3U","320"
10725,"3U","320"
10726,"3U","321"
10727,"3U","320"
10728,"3U","319"
10729,"3U","319"
10730,"3U","319"
10731,"3U","320"
10732,"3U","319"
10733,"3U","320"
10734,"3U","319"
10735,"3U","319"
10736,"3U","319"
10737,"3U","319"
10738,"3U","321"
10739,"3U","320"
10740,"3U","321"
10741,"3U","320"
10742,"3U","319"
10743,"3U","320"
10744,"3U","321"
10745,"3U","320"
10746,"3U","320 319"
