"airlineID"
"MF"
"MH"
"MI"
"MJ"
"MK"
"MM"
"MN"
"MO"
"MR"
"MS"
"MU"
"MW"
"MY"
"N3"
"NF"
"NH"
"NHG"
"NK"
"NL"
"NP"
"NS"
"NT"
"NU"
"NX"
"NY"
"NZ"
"O4"
"O6"
"OA"
"OB"
"OC"
"OD"
"OJ"
"OK"
"OM"
"ON"
"OR"
"OS"
"OU"
"OV"
"OX"
"OY"
"OZ"
"P0"
"P1"
"P2"
"P4"
"P6"
"P9"
"PB"
"PC"
"PD"
"PE"
"PG"
"PI"
"PJ"
"PK"
"PL"
"PM"
"PN"
"PQ"
"PR"
"PS"
"PV"
"PW"
"PX"
"PY"
"PZ"
"Q2"
"Q3"
"Q5"
"Q6"
"Q7"
"Q8"
"Q9"
"QB"
"QC"
"QF"
"QG"
"QH"
"QL"
"QN"
"QR"
"QS"
"QU"
"QV"
"QZ"
"R2"
"R3"
"R7"
"RA"
"RC"
"RG"
"RI"
"RJ"
"RL"
"RO"
"RQ"
"RX"
"RZ"
"S2"
"S3"
"S4"
"S5"
"S6"
"S7"
"S9"
"SA"
"SB"
"SC"
"SD"
"SE"
"SG"
"SH"
"SI"
"SJ"
"SK"
"SN"
"SP"
"SQ"
"SS"
"ST"
"SU"
"SV"
"SW"
"SX"
"SY"
"SZ"
"T3"
"T5"
"T7"
"TA"
"TCX"
"TD"
"TE"
"TF"
"TG"
"TJ"
"TK"
"TL"
"TM"
"TN"
"TO"
"TOM"
"TP"
"TR"
"TS"
"TT"
"TU"
"TV"
"TW"
"TX"
"TY"
"TZ"
"U2"
"U6"
"U7"
"UA"
"UD"
"UE"
"UG"
"UJ"
"UL"
"UM"
"UN"
"UO"
"UP"
"UR"
"US"
"UU"
"UX"
"UY"
"V0"
"V3"
"V4"
"V7"
"V9"
"VA"
"VB"
"VF"
"VH"
"VJ"
"VN"
"VQ"
"VR"
"VS"
"VT"
"VW"
"VX"
"VY"
"W2"
"W3"
"W4"
"W5"
"W6"
"W9"
"WB"
"WF"
"WJ"
"WM"
"WN"
"WP"
"WS"
"WT"
"WU"
"WW"
"WX"
"WY"
"X3"
"X4"
"X7"
"XK"
"XL"
"XQ"
"XU"
"XV"
"XY"
"Y4"
"Y5"
"Y7"
"Y8"
"Y9"
"YC"
"YI"
"YJ"
"YK"
"YM"
"YN"
"YO"
"YQ"
"YR"
"YT"
"Z2"
"Z3"
"Z4"
"Z6"
"Z8"
"Z9"
"ZB"
"ZD"
"ZE"
"ZH"
"ZI"
"ZK"
"ZL"
"ZM"
